time_s,shoulder_torque,elbow_torque,wrist_torque,shoulder_vel,elbow_vel,wrist_vel,end_effector_error_m,torque_norm,velocity_norm,anomaly_score,anomaly_level
0.0,12.0,8.0,3.0,0.2,0.1,0.1,0.04,14.731,0.245,0.1405,normal
0.1,14.0,9.0,4.0,0.3,0.2,0.1,0.04,17.117,0.374,0.166,normal
0.2,17.0,11.0,5.0,0.4,0.3,0.2,0.05,20.857,0.539,0.2105,normal
0.3,22.0,14.0,6.0,0.6,0.5,0.3,0.06,26.758,0.837,0.2796,normal
0.4,29.0,18.0,8.0,0.8,0.7,0.4,0.08,35.057,1.136,0.371,normal
0.5,44.0,30.0,14.0,1.4,1.1,0.8,0.14,55.064,1.952,0.609,warning
0.6,58.0,42.0,20.0,1.9,1.5,1.1,0.22,74.351,2.659,0.8491,critical
0.7,63.0,47.0,24.0,2.2,1.8,1.4,0.27,82.183,3.169,0.9802,critical
0.8,49.0,35.0,17.0,1.5,1.2,0.9,0.18,62.57,2.121,0.7002,warning
0.9,31.0,21.0,10.0,0.9,0.8,0.5,0.1,38.756,1.304,0.4236,normal
1.0,20.0,13.0,6.0,0.5,0.4,0.2,0.06,24.597,0.671,0.2522,normal
1.1,16.0,10.0,5.0,0.3,0.3,0.2,0.05,19.519,0.469,0.1965,normal
1.2,18.0,11.0,6.0,0.5,0.6,0.5,0.07,21.932,0.927,0.2672,normal
1.3,35.0,26.0,18.0,1.2,1.4,1.1,0.16,47.17,2.147,0.5956,warning
1.4,52.0,39.0,29.0,1.8,2.1,1.7,0.25,71.176,3.247,0.9062,critical
1.5,60.0,45.0,33.0,2.3,2.4,2.0,0.31,81.939,3.879,1.0735,critical
1.6,42.0,32.0,22.0,1.4,1.6,1.2,0.19,57.201,2.441,0.7048,warning
1.7,25.0,18.0,12.0,0.7,0.8,0.6,0.09,33.061,1.221,0.3747,normal
