time_s,shoulder_torque,elbow_torque,wrist_torque,shoulder_vel,elbow_vel,wrist_vel,end_effector_error_m
0.0,12,8,3,0.2,0.1,0.1,0.04
0.1,14,9,4,0.3,0.2,0.1,0.04
0.2,17,11,5,0.4,0.3,0.2,0.05
0.3,22,14,6,0.6,0.5,0.3,0.06
0.4,29,18,8,0.8,0.7,0.4,0.08
0.5,44,30,14,1.4,1.1,0.8,0.14
0.6,58,42,20,1.9,1.5,1.1,0.22
0.7,63,47,24,2.2,1.8,1.4,0.27
0.8,49,35,17,1.5,1.2,0.9,0.18
0.9,31,21,10,0.9,0.8,0.5,0.10
1.0,20,13,6,0.5,0.4,0.2,0.06
1.1,16,10,5,0.3,0.3,0.2,0.05
1.2,18,11,6,0.5,0.6,0.5,0.07
1.3,35,26,18,1.2,1.4,1.1,0.16
1.4,52,39,29,1.8,2.1,1.7,0.25
1.5,60,45,33,2.3,2.4,2.0,0.31
1.6,42,32,22,1.4,1.6,1.2,0.19
1.7,25,18,12,0.7,0.8,0.6,0.09
